Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
5 MS1005,EFT,0.9091781,0.49215,365,IP365,94.54,"In one year, I have a tiny house just starting to come together. The frame is assembled, as well as the shell. The bulk of the work is already finished, and now I'll be able to put together the inside of the living area. It's amazing to have my wife helping with the entire process. It's a lot of work, but we feel like it's well worth it as the day keeps going.","In one year, I have a tiny house just starting to come together. The frame is assembled, as well as the shell. The bulk of the work is already finished, and now I'll be able to put together the inside of the living area. It's amazing to have my wife helping with the entire process. It's a lot of work, but we feel like its well worth it as the day keeps going.",73,88.54,65.96,79.89,98.13,14.6,12.33,94.52,58.9,10.96,5.48,4.11,1.37,0,0,0,5.48,13.7,17.81,10.96,6.85,6.85,0,21.92,6.85,5.48,0,1.37,2.74,5.48,5.48,0,0,0,0,8.22,1.37,0,1.37,0,5.48,1.37,0,0,1.37,1.37,1.37,1.37,0,0,1.37,1.37,0,1.37,0,0,10.96,5.48,4.11,1.37,0,0,2.74,17.81,2.74,19.18,4.11,8.22,6.85,2.74,0,1.37,1.37,0,0,2.74,0,0,0,2.74,0,16.44,6.85,5.48,0,0,0,0,0,0,4.11,0,0
141 MS1141,ERT,0.7831507,0.783150685,365,IP365,44.54,"About 288 hours ago I was catching up on my favorite show, NCIS. I was able to find time after the kids went to bed to watch tv. I was watching NCIS on Amazon and was able to catch up on the last few episodes I missed. I was sitting on the guest bed with my laptop; Brian even came in to watch a bit with me.","About 288 hours ago I was catching up on my favorite show, NCIS. I was able to find time after the kids went to bed to watch television. I was watching NCIS on Amazon and was able to catch up on the last few episodes I missed. I was sitting on the guest bed with my laptop; Brian even came in to watch a bit with me.",67,97.24,18.53,99,25.77,16.75,8.96,91.04,52.24,11.94,11.94,11.94,0,0,0,0,0,5.97,23.88,7.46,2.99,1.49,0,17.91,4.48,1.49,0,1.49,2.99,2.99,1.49,1.49,0,0,1.49,2.99,0,1.49,0,0,1.49,1.49,0,0,0,0,0,5.97,5.97,0,0,0,0,0,0,0,5.97,0,2.99,2.99,0,0,13.43,4.48,0,23.88,4.48,11.94,7.46,1.49,1.49,2.99,0,0,0,0,0,0,0,0,0,8.96,5.97,1.49,0,1.49,0,0,0,0,0,0,0
88 MS1088,ERT,0.4936164,0.493616438,365,IP365,24.22,"About 288 hours ago it was new years eve. And I had a friend of mine form out of town come for a visit. I was very happy to seebill , as was my wife. Are plans had been to pre drink at our place and then head downtown. We ended up just staying in drinking and watching the new years programming on tv. I was still content and enjoyed myself.
 
 
 
 About 288 hours ago it was new years eve. I was with my friend who had come to visit form out of town and my wife at our apartment. My wife had made banana bread with chocolate chips. We were drinking alabama slammers and beer. My wife did not drink the beer though. We intended to go out downtown closer to midnight. but we eneded up staying in and drinking and talking instead. I was very content with this as I miss bill and it would have been heard to catch up as much if we were at a loud bar anyways. i was very happy overall and enjoyed ringing in the new year with people I care about.","""About 288 hours ago it was new year’s eve. And I had a friend of mine form out of town come for a visit. I was very happy to see bill, as was my wife. Are plans had been to pre drink at our place and then head downtown. We ended up just staying in drinking and watching the New Year’s programming on television. I was still content and enjoyed myself. About 288 hours ago it was NEW year’s Eve. I was with my friend who had come to visit form out of town and my wife at our apartment. My wife had made banana bread with chocolate chips. We were drinking Alabama slammers and beer. My wife did not drink the beer though. We intended to go out downtown closer to midnight. But we ended up staying in and drinking and talking instead. I was very content with this as I miss bill and it would have been heard to catch up as much if we were at a loud bar anyways. I was very happy overall and enjoyed ringing in the New Year with people I care about.""",190,54.21,60.39,96.09,65.65,12.67,13.16,92.63,56.84,14.21,11.58,7.89,3.68,0,0,0,2.63,3.16,17.37,10.53,5.79,8.95,0.53,19.47,5.26,2.11,0.53,1.05,0.53,3.16,2.63,0.53,0,0,0.53,10,2.11,1.05,2.11,0,4.74,0,1.05,1.05,1.05,0,2.63,2.63,1.05,1.58,0,6.32,0.53,0,0,5.79,8.95,6.84,0.53,1.58,0,0,12.11,4.21,1.05,22.11,4.21,11.05,7.89,0.53,4.74,0.53,1.05,0,0,0.53,0,0,0,0,0.53,11.05,7.89,0.53,0,0,0,0,0,1.05,1.58,0,0
105 MS1105,ERT,0.6440274,0.644027397,30,IP30,72.66,About 24 hours ago I was in the kitchen making doggie treats. They really enjoyed them.I was with both of my doggies. I was really enjoying myself when I baked cookies for my doggies for the first time.,About 24 hours ago I was in the kitchen making doggie treats. They really enjoyed them. I was with both of my doggies. I was really enjoying myself when I baked cookies for my doggies for the first time.,39,43.96,3.66,99,97.19,9.75,15.38,87.18,58.97,23.08,23.08,17.95,0,0,0,5.13,0,5.13,15.38,7.69,10.26,2.56,0,10.26,0,0,2.56,5.13,2.56,5.13,5.13,0,0,0,0,5.13,0,0,0,0,7.69,0,2.56,0,0,0,5.13,0,0,0,0,7.69,0,0,0,7.69,2.56,0,2.56,0,0,0,10.26,0,0,17.95,0,5.13,12.82,0,2.56,5.13,0,0,0,0,0,0,0,0,0,10.26,10.26,0,0,0,0,0,0,0,0,0,0
38 MS1038,EFT,0.9653425,0.965342466,365,IP365,91.4,"In about 1 year, I am packing up a moving van to drive across the country with my husband and my two babies. My in-laws will be here to help us because they are really generous and giving of their time and love to help anyway they can. I am so grateful they are here to make it less stressful. I am excited to finally be doing something we have talked about for months. We are almost done carrying the last load of boxes onto the truck. I am so excited to shut the doors, get on the road, and move to Texas to start a new adventure!","In about 1 year, I am packing up a moving van to drive across the country with my husband and my two babies. My in-laws will be here to help us because they are really generous and giving of their time and love to help anyway they can. I am so grateful they are here to make it less stressful. I am excited to finally be doing something we have talked about for months. We are almost done carrying the last load of boxes onto the truck. I am so excited to shut the doors, get on the road, and move to Texas to start a new adventure!",108,54.29,84.58,79.42,98.27,18,12.04,93.52,63.89,14.81,12.96,6.48,2.78,0,0,3.7,1.85,6.48,17.59,12.96,9.26,6.48,0,19.44,4.63,0.93,0,1.85,0.93,7.41,6.48,0.93,0.93,0,0,14.81,2.78,0,0,0.93,4.63,0,1.85,0,1.85,0,0.93,0,0,0,0,0.93,0,0,0,0,11.11,6.48,0,2.78,3.7,0,1.85,13.89,0.93,18.52,3.7,8.33,6.48,0,0,0.93,0,0,0,0.93,0,0,0,0,0.93,9.26,4.63,2.78,0,0,0,0.93,0.93,0,0,0,0
46 MS1046,EFT,0.9490137,0.949013699,365,IP365,99.22,"In about 1 year I am celebrating my daughter Gray's first birthday. Our close family are all gathered around our tiny townhouse to celebrate our Gray's special day. I have baked a special little cake for her to dig into and get dirty, topped with pink frosting and sprinkles. She makes a huge mess of her face and hair and needs a bath now! Everyone laughs and smiles at how cute she is and big sisters think they need to help eat the frosting. Once she is all cleaned up the presents get ripped open, once again with the help of her big sisters. It is fun to celebrate in this special way, even though Gray has no idea how special it is.","In about 1 year I am celebrating my daughter Gray's first birthday. Our close family is all gathered around our tiny townhouse to celebrate our Gray's special day. I have baked a special little cake for her to dig into and get dirty, topped with pink frosting and sprinkles. She makes a huge mess of her face and hair and needs a bath now! Everyone laughs and smiles at how cute she is and big sisters think they need to help eat the frosting. Once she is all cleaned up the presents get ripped open, once again with the help of her big sisters. It is fun to celebrate in this special way, even though Gray has no idea how special it is.",123,60.92,93.87,21.47,98.52,17.57,15.45,90.24,48.78,13.82,10.57,2.44,2.44,0,4.88,0.81,3.25,4.88,13.01,6.5,6.5,7.32,0.81,13.82,9.76,0,1.63,3.25,1.63,7.32,6.5,0.81,0,0,0,17.07,3.25,0,7.32,0,8.94,1.63,2.44,1.63,0,2.44,0.81,2.44,1.63,0.81,0,3.25,0.81,0,0,2.44,16.26,9.76,3.25,5.69,1.63,0,0.81,13.82,0,17.89,0,11.38,6.5,0,4.88,2.44,0,0,0,0,0,0,0,0,0,9.76,4.88,2.44,0,0,0,0.81,0,0,1.63,0,0
42 MS1042,EFT,0.6813973,0.68139726,365,IP365,49.22,"In about 1 year, I am Delta's Restaurant. My partner and I are sitting at a secluded table celebrating his 40th birthday. We are holding hands and talking very low. We are in love. I am happy and contented. Our bellies are full and we are grateful to be in eacho other's company.","In about 1 year, I am Delta's Restaurant. My partner and I are sitting at a secluded table celebrating his 40th birthday. We are holding hands and talking very low. We are in love. I am happy and contented. Our bellies are full and we are grateful to be in each other's company.",53,25.45,97.03,60.79,98.46,8.83,22.64,86.79,54.72,16.98,16.98,7.55,7.55,0,1.89,0,0,1.89,11.32,15.09,3.77,7.55,0,18.87,3.77,0,0,1.89,1.89,9.43,7.55,1.89,0,0,1.89,18.87,0,1.89,0,1.89,0,0,0,0,0,0,0,1.89,0,0,1.89,7.55,3.77,0,0,1.89,15.09,13.21,1.89,1.89,0,0,0,15.09,0,16.98,0,13.21,3.77,1.89,3.77,0,0,0,0,0,0,0,0,0,0,16.98,11.32,1.89,0,0,0,0,0,0,3.77,0,0
13 MS1013,EFT,0.5943562,0.73045,180,IP180,80.46,"In about six months I am holding my baby daughter for the first time. I am in the delivery room with my wife, the doctor, and the nurses. I am cradling my daughter in my arms and swaying back and forth to soothe her. I am overjoyed and relieved that she is healthy.","In about six months I am holding my baby daughter for the first time. I am in the delivery room with my wife, the doctor, and the nurses. I am cradling my daughter in my arms and swaying back and forth to soothe her. I am overjoyed and relieved that she is healthy.",53,50.56,35.28,88.81,89.18,13.25,16.98,88.68,60.38,20.75,18.87,15.09,0,0,3.77,0,1.89,7.55,13.21,9.43,3.77,7.55,0,9.43,1.89,0,0,3.77,0,3.77,3.77,0,0,0,0,11.32,7.55,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,5.66,1.89,3.77,0,0,5.66,1.89,1.89,1.89,0,0,0,9.43,0,16.98,1.89,9.43,7.55,1.89,0,1.89,0,0,0,0,0,0,0,0,0,11.32,7.55,3.77,0,0,0,0,0,0,0,0,0
88 MS1088,ERT,0.4936164,0.493616438,30,IP30,74.22,"It was my wife's 32 nd birthday yesterday. I took her to her favorite, red lobster. I enjoyed being able to make her happy since she was having a hard time with turning 32. We both enjoyed the meals , it was lobsterfest and she had the lobster lovers dream. we also had the seafood platter appetizer. There was a lot to take home. After that we went to the grocery store and got a bottle of wine and then I surprised her by taking her to the tipsy paintbrush for a paint and drink night. I had singed us up for it prior little to her knowledge. She was thrilled to know it was a painting of her favorite animal an elephant. I felt very proud and pleased to have pulled this off.I was not as skilled in the painting but I had a great time. And I was so fortunate all of it fell on her birthday, ie the elephant being the painting and lobsterfest being at the right time as well( though it usually is on during her bday)","It was my wife's 32nd birthday yesterday. I took her to her favorite, red lobster. I enjoyed being able to make her happy since she was having a hard time with turning 32. We both enjoyed the meals, it was lobster fest and she had the lobster lover’s dream. We also had the seafood platter appetizer. There was a lot to take home. After that we went to the grocery store and got a bottle of wine and then I surprised her by taking her to the tipsy paintbrush for a paint and drink night. I had singed us up for it prior little to her knowledge. She was thrilled to know it was a painting of her favorite animal an elephant. I felt very proud and pleased to have pulled this off.I was not as skilled in the painting but I had a great time. And I was so fortunate all of it fell on her birthday, for example, the elephant being the painting and lobster fest being at the right time as well( though it usually is on during her birthday) ""About 144 hours ago it was last Saturday I was out and about with my wife in the car and we went to a bookstore. I was pleased because they had a copy of Faulkner’s, as I lay dying, and I have wanted to read it.I purchased it and was pleased because it is a used bookstore and has great deals. I was delighted at the savings.",252,56.53,59.4,27.77,99,19.38,16.67,88.89,61.51,18.25,13.49,6.35,1.98,0,4.76,0.4,4.76,8.33,14.68,10.71,3.57,8.73,0.4,16.67,4.76,1.59,0,0.79,1.19,6.35,6.35,0,0,0,0,8.33,0.79,0.4,5.56,0,5.95,1.19,1.98,0.4,0.79,0.4,1.19,1.19,0.4,0,0.79,2.38,0,0,0.4,1.98,7.14,3.17,1.19,0.4,2.38,0,11.51,3.57,0.4,13.89,1.98,4.76,7.14,1.59,1.98,0.4,1.19,0,0.4,0.4,0,0,0,0.4,0,10.71,5.95,2.38,0,0,0,0,0,0.4,1.19,0.79,0
82 MS1082,ERT,0.3634247,0.363424658,180,IP180,19.54,"About 144 hours ago, I was leaving a movie with my friends Amy and Ellen.We had seen the new Star Wars film.I was engaged in conversation as we discussed the plot, characters and merits of the film.I was enjoying myself as we made comparisons between Episode IV and the newest movie.I was engaged and stimulated as we laughed, talked and compared notes all the way from the door of the theatre to the farthest corner of the parking lot.It was very cold outside, but I was warm and happy.","About 144 hours ago, I was leaving a movie with my friends Amy and Ellen.We had seen the new Star Wars film.I was engaged in conversation as we discussed the plot, characters and merits of the film.I was enjoying myself as we made comparisons between Episode IV and the newest movie.I was engaged and stimulated as we laughed, talked and compared notes all the way from the door of the theatre to the farthest corner of the parking lot.It was very cold outside, but I was warm and happy.",94,81.28,73.84,44.79,99,94,19.15,90.43,53.19,12.77,11.7,7.45,4.26,0,0,0,1.06,10.64,13.83,7.45,2.13,10.64,0,11.7,11.7,7.45,0,1.06,2.13,8.51,7.45,1.06,0,1.06,0,10.64,0,1.06,0,0,5.32,0,2.13,0,1.06,1.06,1.06,5.32,1.06,1.06,2.13,1.06,0,1.06,0,0,7.45,6.38,0,1.06,0,0,11.7,0,0,11.7,1.06,6.38,4.26,0,5.32,1.06,0,0,1.06,0,0,0,0,0,0,10.64,6.38,4.26,0,0,0,0,0,0,0,0,0
